,Fallas
256,6
257,4
258,3
259,6
260,3
261,3
262,6
263,5
264,5
265,2
266,3
267,5
268,1
269,4
270,6
271,5
272,4
273,2
274,3
275,8
276,6
277,3
278,3
279,7
280,2
281,5
282,3
283,6
284,1
285,5
286,8
287,6
288,1
289,3
290,7
291,3
292,9
293,3
294,3
295,6
296,3
297,2
298,5
299,3
300,4
301,6
302,5
303,5
304,5
305,1
306,2
307,1
308,5
309,3
310,4
311,3
312,8
313,2
314,8
315,7
316,0
317,1
318,1
319,1
320,3
321,4
322,3
323,3
324,2
325,5
326,5
327,4
328,7
329,3
330,4
331,4
332,3
333,5
334,3
335,5
336,3
337,8
338,2
339,7
340,3
341,3
342,3
343,3
344,7
345,6
346,4
347,3
348,4
349,7
350,3
351,5
352,4
353,2
354,3
355,5
356,6
357,4
358,2
359,3
360,4
361,4
362,4
363,4
364,5
365,3
366,1
367,10
368,2
369,5
370,3
371,4
372,7
373,9
374,8
375,4
376,4
377,5
378,2
379,2
380,2
381,3
382,2
383,7
384,6
385,4
386,4
387,6
388,3
389,2
390,4
391,3
392,3
393,7
394,9
395,1
396,1
397,2
398,7
399,5
400,4
401,3
402,5
403,4
404,2
405,5
406,3
407,8
408,6
409,2
410,2
411,2
412,5
413,3
414,3
415,4
416,4
417,5
418,2
419,3
420,3
421,5
422,2
423,2
424,4
425,7
426,4
427,4
428,5
429,5
430,4
431,1
432,5
433,4
434,3
435,2
436,2
437,3
438,4
439,1
440,9
441,2
442,7
443,4
444,3
445,4
446,7
447,5
448,2
449,5
450,5
451,4
452,2
453,4
454,5
455,4
456,5
457,7
458,4
459,3
460,4
461,7
462,4
463,1
464,3
465,4
466,3
467,6
468,6
469,2
470,10
471,6
472,6
473,5
474,1
475,6
476,8
477,7
478,4
479,7
480,6
481,2
482,3
483,3
484,1
485,5
486,10
487,7
488,5
489,3
490,6
491,7
492,7
493,5
494,2
495,0
496,2
497,7
498,2
499,4
500,6
501,3
502,5
503,1
504,1
505,6
506,4
507,7
508,6
509,7
510,5
511,2
512,0
513,2
514,5
515,3
516,3
517,6
518,2
519,2
520,5
521,4
522,4
523,6
524,8
525,6
526,6
527,1
528,0
529,6
530,3
531,3
532,5
533,6
534,4
535,4
536,2
537,6
538,5
539,6
540,4
541,5
542,4
543,2
544,5
545,6
546,3
547,4
548,4
549,7
550,3
551,6
552,1
553,1
554,2
555,5
556,6
557,3
558,2
559,4
560,4
561,3
562,5
563,5
564,4
565,8
566,6
567,7
568,4
569,6
570,4
571,3
572,3
573,4
574,1
575,5
576,4
577,3
578,7
579,3
580,6
581,5
582,3
583,3
584,7
585,2
586,4
587,5
588,8
589,6
590,4
591,7
592,3
593,3
594,0
595,1
596,2
597,2
598,2
599,3
600,6
601,2
602,4
603,5
604,5
605,7
606,3
607,3
608,6
609,0
610,9
611,3
612,4
613,3
614,4
615,5
616,2
617,3
618,4
619,5
620,7
621,6
622,2
623,3
624,3
625,4
626,1
627,9
628,5
629,6
630,5
631,4
632,1
633,6
634,2
635,6
636,7
637,3
638,1
639,4
640,4
641,1
642,2
643,5
644,9
645,11
646,0
647,2
648,4
649,6
650,4
651,3
652,3
653,4
654,3
655,3
656,4
657,3
658,4
659,4
660,1
661,3
662,3
663,4
664,4
665,8
666,1
667,2
668,2
669,2
670,5
671,6
672,1
673,6
674,6
675,3
676,9
677,4
678,7
679,3
680,1
681,3
682,2
683,7
684,5
685,2
686,2
687,2
688,2
689,4
690,1
691,4
692,7
693,5
694,2
695,1
696,4
697,4
698,3
699,2
700,2
701,5
702,2
703,6
704,3
705,4
706,5
707,9
708,4
709,5
710,5
711,9
712,4
713,5
714,8
715,6
716,4
717,4
718,8
719,6
720,1
721,4
722,4
723,1
724,7
725,7
726,4
727,2
728,3
729,1
730,5
731,4
732,4
733,6
734,5
735,5
736,7
737,3
738,3
739,3
740,2
741,5
742,1
743,2
744,3
745,1
746,3
747,7
748,4
749,4
750,4
751,2
752,9
753,5
754,6
755,3
756,5
757,2
758,3
759,8
760,4
761,9
762,4
763,5
764,3
765,3
766,5
767,1
768,7
769,7
770,3
771,7
772,7
773,3
774,2
775,4
776,3
777,7
778,2
779,8
780,2
781,5
782,1
783,5
784,6
785,3
786,2
787,3
788,6
789,2
790,4
791,6
792,2
793,6
794,2
795,10
796,1
797,5
798,3
799,4
800,4
801,6
802,2
803,8
804,0
805,5
806,4
807,1
808,4
809,5
810,7
811,4
812,9
813,3
814,5
815,3
816,2
817,6
818,5
819,3
820,7
821,6
822,2
823,6
824,4
825,6
826,5
827,3
828,7
829,4
830,5
831,6
832,5
833,3
834,5
835,8
836,9
837,2
838,6
839,1
840,3
841,4
842,3
843,3
844,6
845,4
846,0
847,5
848,5
849,1
850,5
851,3
852,7
853,5
854,6
855,7
856,3
857,3
858,8
859,2
860,4
861,4
862,4
863,5
864,4
865,3
866,2
867,3
868,9
869,6
870,0
871,6
872,5
873,0
874,4
875,3
876,4
877,5
878,5
879,6
880,6
881,4
882,6
883,1
884,2
885,4
886,6
887,3
888,8
889,2
890,5
891,6
892,8
893,5
894,4
895,3
896,9
897,3
898,8
899,4
900,6
901,8
902,3
903,3
904,4
905,7
906,4
907,3
908,6
909,3
910,7
911,5
912,1
913,6
914,4
915,3
916,2
917,4
918,6
919,2
920,2
921,4
922,1
923,3
924,3
925,3
926,2
927,2
928,3
929,6
930,2
931,2
932,3
933,1
934,2
935,7
936,1
937,3
938,2
939,5
940,8
941,5
942,4
943,9
944,9
945,3
946,4
947,2
948,5
949,4
950,7
951,4
952,2
953,4
954,3
955,9
956,9
957,5
958,4
959,4
960,4
961,4
962,2
963,7
964,3
965,6
966,7
967,3
968,4
969,4
970,9
971,5
972,7
973,6
974,5
975,4
976,1
977,4
978,2
979,2
980,8
981,5
982,4
983,4
984,3
985,6
986,3
987,4
988,3
989,2
990,3
991,4
992,3
993,4
994,2
995,3
996,6
997,1
998,2
999,2
1000,3
1001,3
1002,4
1003,4
1004,3
1005,6
1006,4
1007,4
1008,6
1009,6
1010,5
1011,5
1012,4
1013,1
1014,5
1015,9
1016,4
1017,5
1018,2
1019,2
1020,3
1021,4
1022,0
1023,4
1024,3
1025,4
1026,0
1027,5
1028,2
1029,3
1030,4
1031,5
1032,2
1033,4
1034,4
1035,1
1036,7
1037,1
1038,2
1039,3
1040,2
1041,2
1042,3
1043,5
1044,1
1045,3
1046,2
1047,1
1048,4
1049,6
1050,2
1051,2
1052,4
1053,6
1054,5
1055,1
1056,6
1057,8
1058,2
1059,6
1060,7
1061,5
1062,1
1063,3
1064,6
1065,6
1066,2
1067,3
1068,3
1069,5
1070,3
1071,0
1072,3
1073,4
1074,1
1075,3
1076,3
1077,4
1078,3
1079,1
1080,2
1081,6
1082,5
1083,2
1084,8
1085,7
1086,7
1087,2
1088,3
1089,2
1090,3
1091,3
1092,6
1093,1
1094,5
1095,4
1096,7
1097,1
1098,6
1099,3
1100,5
1101,6
1102,5
1103,7
1104,1
1105,7
1106,1
1107,4
1108,5
1109,2
1110,5
1111,4
1112,1
1113,9
1114,5
1115,4
1116,2
1117,6
1118,6
1119,2
1120,3
1121,3
1122,3
1123,10
1124,3
1125,5
1126,1
1127,3
1128,4
1129,6
1130,2
1131,3
1132,1
1133,2
1134,4
1135,4
1136,2
1137,4
1138,3
1139,6
1140,2
1141,7
1142,2
1143,6
1144,2
1145,3
1146,4
1147,2
1148,4
1149,5
1150,5
1151,2
1152,6
1153,6
1154,4
1155,1
1156,6
1157,2
1158,3
1159,3
1160,5
1161,3
1162,4
1163,10
1164,7
1165,7
1166,3
1167,1
1168,3
1169,3
1170,2
1171,3
1172,7
1173,3
1174,2
1175,5
1176,1
1177,2
1178,4
1179,3
1180,3
1181,4
1182,4
1183,1
1184,6
1185,5
1186,4
1187,3
1188,4
1189,7
1190,5
1191,7
1192,7
1193,4
1194,3
1195,2
1196,3
1197,1
1198,3
1199,2
1200,7
1201,6
1202,3
1203,2
1204,3
1205,3
1206,2
1207,2
1208,8
1209,3
1210,3
1211,1
1212,6
1213,2
1214,2
1215,6
1216,1
1217,4
1218,4
1219,2
1220,4
1221,6
1222,4
1223,3
1224,2
1225,4
1226,3
1227,3
1228,3
1229,7
1230,6
1231,6
1232,8
1233,2
1234,5
1235,4
1236,1
1237,5
1238,6
1239,3
1240,1
1241,2
1242,4
1243,2
1244,4
1245,2
1246,7
1247,5
1248,6
1249,2
1250,6
1251,9
1252,0
1253,1
1254,7
1255,2
1256,3
1257,3
1258,6
1259,3
1260,5
1261,2
1262,4
1263,5
1264,4
1265,3
1266,2
1267,10
1268,4
1269,4
1270,3
1271,9
1272,3
1273,4
1274,5
1275,8
1276,4
1277,4
1278,6
1279,4
1280,6
1281,5
1282,4
1283,2
1284,4
1285,8
1286,4
1287,7
1288,1
1289,5
1290,4
1291,6
1292,8
1293,2
1294,3
1295,3
1296,4
1297,5
1298,4
1299,3
1300,4
1301,1
1302,5
1303,3
1304,6
1305,4
1306,7
1307,6
1308,2
1309,2
1310,5
1311,1
1312,2
1313,1
1314,6
1315,6
1316,8
1317,3
1318,5
1319,3
1320,4
1321,2
1322,2
1323,4
1324,5
1325,3
1326,4
1327,5
1328,6
1329,4
1330,4
1331,8
1332,4
1333,4
1334,5
1335,2
1336,3
1337,6
1338,8
1339,1
1340,4
1341,8
1342,6
1343,4
1344,6
1345,2
1346,4
1347,6
1348,2
1349,6
1350,6
1351,8
1352,6
1353,5
1354,3
1355,3
1356,6
1357,4
1358,4
1359,6
1360,0
1361,3
1362,4
1363,2
1364,2
1365,4
1366,2
1367,3
1368,6
1369,1
1370,6
1371,1
1372,4
1373,1
1374,7
1375,7
1376,7
1377,5
1378,4
1379,3
1380,6
1381,5
1382,3
1383,4
1384,4
1385,1
1386,11
1387,9
1388,5
1389,2
1390,2
1391,2
1392,3
1393,2
1394,3
1395,8
1396,6
1397,2
1398,2
1399,4
1400,3
1401,4
1402,1
1403,5
1404,3
1405,10
1406,4
1407,6
1408,7
1409,4
1410,2
1411,3
1412,4
1413,2
1414,2
1415,3
1416,6
1417,6
1418,4
1419,0
1420,3
1421,5
1422,4
1423,10
1424,4
1425,9
1426,4
1427,2
1428,6
1429,3
1430,5
1431,5
1432,2
1433,2
1434,3
1435,4
1436,2
1437,3
1438,6
1439,2
1440,5
1441,4
1442,7
1443,3
1444,6
1445,7
1446,5
1447,5
1448,8
1449,3
1450,4
1451,6
1452,8
1453,5
1454,4
1455,7
1456,6
1457,7
1458,5
1459,2
1460,4
1461,4
1462,5
1463,5
1464,7
1465,1
1466,3
1467,7
1468,5
1469,3
1470,3
1471,3
1472,5
1473,2
1474,4
1475,5
1476,7
1477,4
1478,5
1479,3
1480,3
1481,3
1482,4
1483,7
1484,3
1485,7
1486,7
1487,3
1488,2
1489,4
1490,2
1491,3
1492,2
1493,3
1494,3
1495,4
1496,3
1497,7
1498,2
1499,2
1500,7
1501,4
1502,2
1503,8
1504,7
1505,6
1506,1
1507,2
1508,4
1509,3
1510,7
1511,6
1512,3
1513,2
1514,2
1515,3
1516,5
1517,1
1518,3
1519,6
1520,5
1521,2
1522,4
1523,6
1524,1
1525,7
1526,7
1527,3
1528,4
1529,5
1530,7
1531,2
1532,4
1533,1
1534,5
1535,6
1536,3
1537,3
1538,2
1539,1
1540,7
1541,5
1542,4
1543,5
1544,3
1545,7
1546,2
1547,6
1548,6
1549,3
1550,2
1551,2
1552,4
1553,9
1554,7
1555,1
1556,4
1557,4
1558,6
1559,5
1560,3
1561,3
1562,0
1563,4
1564,2
1565,1
1566,5
1567,4
1568,3
1569,8
1570,2
1571,6
1572,3
1573,4
1574,4
1575,10
1576,5
1577,5
1578,2
1579,6
1580,8
1581,3
1582,1
1583,4
1584,2
1585,7
1586,5
1587,7
1588,3
1589,5
1590,6
1591,3
1592,2
1593,2
1594,2
1595,2
1596,3
1597,3
1598,7
1599,0
1600,2
1601,3
1602,1
1603,5
1604,7
1605,5
1606,11
1607,4
1608,5
1609,3
1610,6
1611,3
1612,2
1613,6
1614,10
1615,6
1616,6
1617,4
1618,9
1619,3
1620,1
1621,1
1622,4
1623,2
1624,2
1625,6
1626,1
1627,1
1628,3
1629,3
1630,7
1631,3
1632,4
1633,1
1634,3
1635,1
1636,0
1637,4
1638,4
1639,5
1640,3
1641,1
1642,3
1643,7
1644,2
1645,3
1646,3
1647,7
1648,2
1649,4
1650,3
1651,4
1652,6
1653,7
1654,3
1655,5
1656,4
1657,5
1658,3
1659,7
1660,6
1661,3
1662,8
1663,3
1664,6
1665,4
1666,3
1667,5
1668,2
1669,5
1670,9
1671,4
1672,1
1673,3
1674,4
1675,7
1676,2
1677,6
1678,2
1679,2
1680,3
1681,1
1682,4
1683,0
1684,3
1685,2
1686,6
1687,6
1688,5
1689,4
1690,8
1691,9
1692,3
1693,4
1694,5
1695,4
1696,6
1697,2
1698,3
1699,2
1700,4
1701,5
1702,7
1703,8
1704,2
1705,5
1706,5
1707,2
1708,6
1709,5
1710,4
1711,1
1712,6
1713,5
1714,5
1715,3
1716,3
1717,6
1718,2
1719,7
1720,3
1721,3
1722,1
1723,4
1724,8
1725,4
1726,5
1727,3
1728,4
1729,3
1730,5
1731,1
1732,4
1733,2
1734,6
1735,4
1736,3
1737,2
1738,1
1739,10
1740,7
1741,4
1742,7
1743,5
1744,1
1745,4
1746,3
1747,4
1748,2
1749,1
1750,5
1751,4
1752,5
1753,2
1754,5
1755,6
1756,3
1757,4
1758,4
1759,5
1760,1
1761,3
1762,3
1763,1
1764,2
1765,7
1766,1
1767,0
1768,3
1769,6
1770,4
1771,5
1772,5
1773,4
1774,8
1775,7
1776,7
1777,2
1778,1
1779,4
1780,6
1781,1
1782,4
1783,5
1784,4
1785,5
1786,4
1787,3
1788,5
1789,4
1790,3
1791,7
1792,3
1793,2
1794,4
1795,3
1796,7
1797,5
1798,5
1799,5
1800,3
1801,6
1802,5
1803,4
1804,3
1805,7
1806,8
1807,4
1808,5
1809,2
1810,9
1811,1
1812,3
1813,3
1814,2
1815,2
1816,5
1817,2
1818,5
1819,4
1820,2
1821,5
1822,2
1823,4
1824,3
1825,2
1826,3
1827,6
1828,4
1829,2
1830,5
1831,7
1832,4
1833,6
1834,1
1835,3
1836,3
1837,5
1838,3
1839,3
1840,2
1841,7
1842,1
1843,2
1844,6
1845,5
1846,1
1847,5
1848,6
1849,5
1850,3
1851,2
1852,2
1853,2
1854,5
1855,2
1856,6
1857,6
1858,4
1859,2
1860,2
1861,1
1862,3
1863,6
1864,5
1865,5
1866,7
1867,4
1868,2
1869,3
1870,4
1871,5
1872,4
1873,3
1874,3
1875,5
1876,4
1877,3
1878,1
1879,3
1880,5
1881,3
1882,4
1883,5
1884,2
1885,3
1886,1
1887,3
1888,3
1889,6
1890,2
1891,4
1892,8
1893,1
1894,6
1895,3
1896,3
1897,3
1898,3
1899,5
1900,6
1901,4
1902,4
1903,1
1904,4
1905,4
1906,2
1907,4
1908,5
1909,3
1910,5
1911,2
1912,6
1913,5
1914,2
1915,8
1916,5
1917,8
1918,2
1919,3
1920,4
1921,3
1922,3
1923,7
1924,3
1925,4
1926,6
1927,5
1928,5
1929,4
1930,5
1931,1
1932,4
1933,2
1934,6
1935,4
1936,1
1937,6
1938,3
1939,0
1940,2
1941,7
1942,4
1943,1
1944,3
1945,4
1946,3
1947,2
1948,3
1949,1
1950,5
1951,7
1952,2
1953,9
1954,4
1955,1
1956,5
1957,1
1958,3
1959,6
1960,6
1961,5
1962,1
1963,3
1964,3
1965,2
1966,2
1967,4
1968,2
1969,2
1970,2
1971,5
1972,8
1973,3
1974,2
1975,4
1976,2
1977,5
1978,9
1979,4
1980,4
1981,0
1982,3
1983,2
1984,1
1985,1
1986,3
1987,4
1988,4
1989,4
1990,5
1991,4
1992,4
1993,5
1994,7
1995,11
1996,2
1997,3
1998,2
1999,8
2000,4
2001,7
2002,3
2003,7
2004,0
2005,4
2006,2
2007,3
2008,4
2009,3
2010,3
2011,6
2012,2
2013,7
2014,3
2015,3
2016,1
2017,5
2018,2
2019,8
2020,0
2021,3
2022,4
2023,7
2024,6
2025,5
2026,4
2027,6
2028,2
2029,4
2030,3
2031,6
2032,10
2033,3
2034,3
2035,3
2036,4
2037,6
2038,4
2039,5
2040,6
2041,4
2042,2
2043,4
2044,3
2045,2
2046,6
2047,2
2048,2
2049,4
2050,6
2051,6
2052,4
2053,3
2054,5
2055,2
2056,8
2057,7
2058,7
2059,6
2060,4
2061,7
2062,4
2063,3
2064,2
2065,5
2066,7
2067,6
2068,6
2069,2
2070,3
2071,5
2072,4
2073,3
2074,4
2075,3
2076,3
2077,4
2078,6
2079,4
2080,5
2081,3
2082,4
2083,4
2084,3
2085,5
2086,1
2087,6
2088,3
2089,7
2090,8
2091,3
2092,3
2093,1
2094,1
2095,1
2096,3
2097,3
2098,2
2099,4
2100,6
2101,3
2102,4
2103,4
2104,2
2105,4
2106,8
2107,5
2108,6
2109,1
2110,2
2111,4
2112,2
2113,2
2114,5
2115,3
2116,3
2117,2
2118,1
2119,5
2120,6
2121,4
2122,4
2123,5
2124,3
2125,9
2126,7
2127,3
2128,4
2129,6
2130,6
2131,3
2132,2
2133,7
2134,0
2135,4
2136,4
2137,6
2138,1
2139,4
2140,3
2141,4
2142,2
2143,6
2144,8
2145,3
2146,4
2147,6
2148,6
2149,4
2150,5
2151,2
2152,6
2153,4
2154,3
2155,3
2156,2
2157,5
2158,1
2159,4
2160,7
2161,4
2162,6
2163,6
2164,3
2165,2
2166,4
2167,3
2168,7
2169,7
2170,6
2171,5
2172,1
2173,0
2174,6
2175,4
2176,4
2177,2
2178,5
2179,4
2180,3
2181,10
2182,3
2183,5
2184,2
2185,1
2186,3
2187,6
2188,4
2189,2
2190,4
2191,1
2192,4
2193,6
2194,2
2195,7
2196,1
2197,5
2198,7
2199,1
2200,3
2201,2
2202,1
2203,4
2204,5
2205,1
2206,2
2207,1
2208,5
2209,4
2210,3
2211,6
2212,4
2213,3
2214,6
2215,3
2216,8
2217,10
2218,4
2219,5
2220,2
2221,7
2222,6
2223,3
2224,1
2225,2
2226,9
2227,6
2228,1
2229,3
2230,8
2231,1
2232,6
2233,5
2234,4
2235,2
2236,2
2237,3
2238,2
2239,6
2240,4
2241,1
2242,1
2243,6
2244,4
2245,5
2246,4
2247,4
2248,6
2249,1
2250,2
2251,2
2252,0
2253,4
2254,2
2255,4
2256,6
2257,4
2258,7
2259,3
2260,6
2261,8
2262,9
2263,5
2264,6
2265,6
2266,4
2267,1
2268,3
2269,4
2270,4
2271,1
2272,5
2273,3
2274,2
2275,4
2276,2
2277,4
2278,2
2279,6
2280,3
2281,4
2282,9
2283,3
2284,0
2285,3
2286,4
2287,3
2288,6
2289,1
2290,9
2291,6
2292,6
2293,4
2294,5
2295,3
2296,4
2297,0
2298,7
2299,4
2300,2
2301,2
2302,6
2303,2
2304,1
2305,4
2306,4
2307,4
2308,5
2309,4
2310,2
2311,8
2312,6
2313,3
2314,4
2315,3
2316,9
2317,3
2318,3
2319,4
2320,5
2321,7
2322,5
2323,4
2324,2
2325,7
2326,4
2327,4
2328,4
2329,4
2330,1
2331,7
2332,4
2333,3
2334,6
2335,3
2336,4
2337,4
2338,5
2339,6
2340,4
2341,3
2342,2
2343,0
2344,3
2345,4
2346,4
2347,5
2348,4
2349,5
2350,3
2351,0
2352,5
2353,6
2354,4
2355,5
2356,3
2357,2
2358,2
2359,4
2360,2
2361,4
2362,3
2363,7
2364,4
2365,2
2366,1
2367,3
2368,0
2369,6
2370,4
2371,7
2372,4
2373,6
2374,6
2375,3
2376,2
2377,8
2378,4
2379,4
2380,2
2381,3
2382,3
2383,4
2384,4
2385,6
2386,4
2387,7
2388,2
2389,2
2390,3
2391,5
2392,4
2393,5
2394,1
2395,4
2396,5
2397,4
2398,3
2399,7
2400,8
2401,2
2402,4
2403,3
2404,3
2405,5
2406,5
2407,8
2408,1
2409,5
2410,0
2411,5
2412,4
2413,6
2414,1
2415,5
2416,3
2417,1
2418,2
2419,3
2420,6
2421,8
2422,7
2423,4
2424,9
2425,4
2426,8
2427,8
2428,4
2429,1
2430,2
2431,0
2432,5
2433,4
2434,1
2435,6
2436,4
2437,2
2438,5
2439,3
2440,5
2441,4
2442,2
2443,5
2444,4
2445,4
2446,5
2447,1
2448,2
2449,8
2450,4
2451,5
2452,3
2453,7
2454,1
2455,2
2456,7
2457,1
2458,6
2459,2
2460,4
2461,5
2462,3
2463,7
2464,3
2465,2
2466,4
2467,3
2468,7
2469,4
2470,2
2471,3
2472,3
2473,4
2474,6
2475,1
2476,5
2477,1
2478,7
2479,3
2480,4
2481,2
2482,4
2483,3
2484,2
2485,4
2486,8
2487,4
2488,2
2489,1
2490,3
2491,5
2492,9
2493,5
2494,2
2495,5
2496,2
2497,7
2498,2
2499,2
2500,2
2501,6
2502,2
2503,4
2504,7
2505,4
2506,2
2507,5
2508,5
2509,5
2510,3
2511,1
2512,0
2513,6
2514,2
2515,3
2516,10
2517,6
2518,3
2519,7
2520,1
2521,4
2522,1
2523,2
2524,2
2525,8
2526,4
2527,5
2528,5
2529,6
2530,2
2531,4
2532,4
2533,6
2534,5
2535,5
2536,6
2537,5
2538,5
2539,9
2540,3
2541,6
2542,4
2543,6
2544,4
2545,7
2546,2
2547,1
2548,6
2549,3
2550,6
2551,4
2552,6
2553,4
2554,3
2555,5
2556,6
2557,6
2558,1
2559,3
2560,3
2561,5
2562,2
2563,2
2564,3
2565,2
2566,5
2567,4
2568,8
2569,5
2570,3
2571,3
2572,3
2573,6
2574,5
2575,4
2576,3
2577,4
2578,8
2579,1
2580,4
2581,6
2582,1
2583,4
2584,7
2585,5
2586,1
2587,3
2588,2
2589,4
2590,2
2591,6
2592,5
2593,3
2594,5
2595,4
2596,3
2597,2
2598,2
2599,2
2600,5
2601,3
2602,2
2603,2
2604,4
2605,1
2606,9
2607,4
2608,3
2609,5
2610,5
2611,9
2612,4
2613,2
2614,7
2615,7
2616,4
2617,3
2618,8
2619,5
2620,9
2621,5
2622,2
2623,4
2624,1
2625,5
2626,5
2627,5
2628,3
2629,3
2630,3
2631,3
2632,6
2633,7
2634,6
2635,4
2636,7
2637,4
2638,4
2639,7
2640,5
2641,4
2642,4
2643,4
2644,5
2645,2
2646,6
2647,5
2648,4
2649,7
2650,3
2651,4
2652,4
2653,3
2654,4
2655,2
2656,6
2657,4
2658,2
2659,5
2660,5
2661,4
2662,6
2663,5
2664,4
2665,7
2666,2
2667,3
2668,2
2669,2
2670,2
2671,5
2672,1
2673,2
2674,1
2675,4
2676,4
2677,5
2678,3
2679,4
2680,4
2681,2
2682,2
2683,3
2684,5
2685,5
2686,2
2687,5
2688,6
2689,3
2690,3
2691,5
2692,7
2693,6
2694,3
2695,5
2696,5
2697,3
2698,0
2699,4
2700,5
2701,7
2702,3
2703,4
2704,5
2705,4
2706,5
2707,2
2708,5
2709,3
2710,6
2711,2
2712,4
2713,2
2714,2
2715,3
2716,4
2717,5
2718,2
2719,4
2720,4
2721,2
2722,4
2723,7
2724,4
2725,1
2726,1
2727,6
2728,5
2729,3
2730,3
2731,2
2732,5
2733,2
2734,3
2735,3
2736,4
2737,4
2738,8
2739,2
2740,4
2741,5
2742,3
2743,5
2744,4
2745,4
2746,4
2747,4
2748,1
2749,6
2750,8
2751,4
2752,3
2753,1
2754,7
2755,7
2756,5
2757,3
2758,4
2759,11
2760,4
2761,6
2762,2
2763,4
2764,6
2765,4
2766,8
2767,6
2768,6
2769,4
2770,4
2771,1
2772,4
2773,6
2774,1
2775,5
2776,4
2777,2
2778,4
2779,3
2780,11
2781,5
2782,4
2783,5
2784,4
2785,3
2786,5
2787,6
2788,6
2789,7
2790,1
2791,0
2792,3
2793,3
2794,7
2795,0
2796,4
2797,5
2798,5
2799,2
2800,0
2801,3
2802,3
2803,3
2804,4
2805,3
2806,3
2807,4
2808,2
2809,5
2810,3
2811,2
2812,8
2813,3
2814,1
2815,1
2816,3
2817,4
2818,3
2819,2
2820,7
2821,1
2822,3
2823,1
2824,2
2825,4
2826,3
2827,5
2828,4
2829,4
2830,8
2831,2
2832,6
2833,6
2834,3
2835,5
2836,5
2837,4
2838,3
2839,4
2840,2
2841,4
2842,5
2843,3
2844,3
2845,3
2846,3
2847,4
2848,3
2849,3
2850,1
2851,9
2852,1
2853,1
2854,3
2855,5
2856,3
2857,7
2858,2
2859,5
2860,4
2861,3
2862,6
2863,2
2864,3
2865,3
2866,5
2867,5
2868,7
2869,1
2870,7
2871,6
2872,5
2873,5
2874,3
2875,8
2876,4
2877,6
2878,7
2879,4
2880,3
2881,6
2882,8
2883,2
2884,4
2885,2
2886,4
2887,5
2888,6
2889,9
2890,4
2891,5
2892,4
2893,5
2894,5
2895,3
2896,6
2897,4
2898,2
2899,6
2900,7
2901,4
2902,5
2903,5
2904,4
2905,4
2906,2
2907,3
2908,4
2909,6
2910,2
2911,2
2912,5
2913,1
2914,3
2915,5
2916,9
2917,3
2918,3
2919,7
2920,3
2921,10
2922,4
2923,3
2924,7
2925,3
2926,3
2927,2
2928,4
2929,1
2930,3
2931,1
2932,1
2933,6
2934,5
2935,4
2936,3
2937,3
2938,2
2939,5
2940,3
2941,3
2942,3
2943,3
2944,5
2945,5
2946,4
2947,3
2948,4
2949,4
2950,4
2951,4
2952,2
2953,5
2954,8
2955,9
2956,2
2957,6
2958,3
2959,7
2960,6
2961,4
2962,3
2963,6
2964,4
2965,4
2966,4
2967,3
2968,4
2969,2
2970,5
2971,5
2972,3
2973,4
2974,4
2975,0
2976,2
2977,2
2978,0
2979,6
2980,5
2981,1
2982,4
2983,5
2984,3
2985,5
2986,5
2987,3
2988,2
2989,6
2990,2
2991,4
2992,4
2993,5
2994,2
2995,4
2996,5
