ID,Estado cerrado,Duración,Id de estación de inicio,Fecha de inicio,Nombre de estación de inicio,Fecha de fin,Id de estación de fin de viaje,Nombre de estación de fin de viaje,ID de ciclista,Tipo de ciclista,Modelo de bicicleta,Origen de viaje
11204735,NORMAL,1232,83,2021-06-02 15:55:28,083 - Paraná,2021-06-02 16:16:00,82.0,082 - HOSPITAL ITALIANO,502889,MEMBER,ICONIC,CODE
11204733,NORMAL,573,5,2021-06-02 15:55:05,005 - Plaza Italia,2021-06-02 16:04:38,44.0,044 - Ecoparque,6553,MEMBER,ICONIC,CODE
11204732,NORMAL,710,403,2021-06-02 15:55:02,316 - Buenos Aires,2021-06-02 16:06:52,41.0,041 - Urquiza y Rondeau,728260,MEMBER,ICONIC,CODE
11204731,NORMAL,700,261,2021-06-02 15:54:57,272 - Plaza Bruno Giordano,2021-06-02 16:06:37,213.0,136 - Acevedo,766743,MEMBER,ICONIC,CODE
11204730,NORMAL,293,135,2021-06-02 15:54:55,135 - MARCELO T. DE ALVEAR,2021-06-02 15:59:48,130.0,130 - RETIRO II,769185,MEMBER,ICONIC,CODE
11204728,NORMAL,485,190,2021-06-02 15:54:51,190 - JUNCAL,2021-06-02 16:02:56,156.0,156 - Plaza Alemania,746109,MEMBER,ICONIC,CODE
11204726,NORMAL,674,4,2021-06-02 15:54:32,004 - Plaza Roma,2021-06-02 16:05:46,130.0,130 - RETIRO II,201604,MEMBER,ICONIC,CODE
11204725,NORMAL,1375,153,2021-06-02 15:54:31,153 - JUAN MANUEL DE BLANES,2021-06-02 16:17:26,26.0,026 - JUANA MANSO I,750630,MEMBER,ICONIC,CODE
11204724,NORMAL,677,182,2021-06-02 15:54:27,182 - RAVIGNANI Y GUATEMALA,2021-06-02 16:05:44,25.0,025 - Plaza Guemes,3322,MEMBER,ICONIC,CODE
11204722,NORMAL,1421,153,2021-06-02 15:54:26,153 - JUAN MANUEL DE BLANES,2021-06-02 16:18:07,26.0,026 - JUANA MANSO I,759027,MEMBER,ICONIC,CODE
11204721,NORMAL,1421,153,2021-06-02 15:54:26,153 - JUAN MANUEL DE BLANES,2021-06-02 16:18:07,26.0,026 - JUANA MANSO I,751655,MEMBER,ICONIC,CODE
11204720,NORMAL,1119,275,2021-06-02 15:54:22,256 - PLAZA NORUEGA,2021-06-02 16:13:01,364.0,381 - Matienzo Y Arce,207651,MEMBER,ICONIC,CODE
11204719,NORMAL,567,3,2021-06-02 15:54:19,003 - ADUANA,2021-06-02 16:03:46,130.0,130 - RETIRO II,280360,MEMBER,ICONIC,CODE
11204718,NORMAL,684,158,2021-06-02 15:54:13,158 - VILLARROEL,2021-06-02 16:05:37,99.0,099 - Malabia,733631,MEMBER,ICONIC,CODE
11204717,NORMAL,531,91,2021-06-02 15:54:13,091 - Pasco,2021-06-02 16:03:04,107.0,107 - HOSPITAL GARRAHAN,53266,MEMBER,ICONIC,CODE
11204716,NORMAL,1504,153,2021-06-02 15:54:10,153 - JUAN MANUEL DE BLANES,2021-06-02 16:19:14,26.0,026 - JUANA MANSO I,760813,MEMBER,ICONIC,CODE
11204715,NORMAL,784,27,2021-06-02 15:54:05,027 - Montevideo,2021-06-02 16:07:09,75.0,075 - Plaza Primero de Mayo,170536,MEMBER,ICONIC,CODE
11204714,NORMAL,531,171,2021-06-02 15:53:52,171 - Pasteur,2021-06-02 16:02:43,30.0,030 - Peña,38986,MEMBER,ICONIC,CODE
11204713,NORMAL,1300,216,2021-06-02 15:53:37,059 - Coronel Diaz,2021-06-02 16:15:17,82.0,082 - HOSPITAL ITALIANO,671429,MEMBER,ICONIC,CODE
11204712,NORMAL,1337,54,2021-06-02 15:53:34,054 - Acuña de Figueroa,2021-06-02 16:15:51,200.0,200 - AUSTRIA Y FRENCH,374641,MEMBER,ICONIC,CODE
11204711,NORMAL,1606,212,2021-06-02 15:53:25,129 - Velasco,2021-06-02 16:20:11,124.0,124 - UGARTECHE,206910,MEMBER,ICONIC,CODE
11204710,NORMAL,450,158,2021-06-02 15:53:22,158 - VILLARROEL,2021-06-02 16:00:52,229.0,243 - PLAZOLETA CELEDONIO FLORES,704274,MEMBER,ICONIC,CODE
11204709,NORMAL,1630,87,2021-06-02 15:53:20,087 - Guayaquil,2021-06-02 16:20:30,41.0,041 - Urquiza y Rondeau,664962,MEMBER,ICONIC,CODE
11204707,NORMAL,700,5,2021-06-02 15:52:57,005 - Plaza Italia,2021-06-02 16:04:37,239.0,391 - Plaza República de Ecuador,184653,MEMBER,ICONIC,CODE
11204706,NORMAL,699,216,2021-06-02 15:52:57,059 - Coronel Diaz,2021-06-02 16:04:36,5.0,005 - Plaza Italia,698063,MEMBER,ICONIC,CODE
11204705,NORMAL,412,116,2021-06-02 15:52:52,116 - HOSPITAL ALEMÁN,2021-06-02 15:59:44,50.0,050 - Hospital Rivadavia,150279,MEMBER,ICONIC,CODE
11204704,NORMAL,893,275,2021-06-02 15:52:52,256 - PLAZA NORUEGA,2021-06-02 16:07:45,232.0,252 - Tamborini,184365,MEMBER,ICONIC,CODE
11204703,NORMAL,1490,235,2021-06-02 15:52:52,281 - Villa Urquiza,2021-06-02 16:17:42,289.0,255 - BARRANCAS DE BELGRANO,687576,MEMBER,ICONIC,CODE
11204702,NORMAL,1377,161,2021-06-02 15:52:41,161 - Humahuaca,2021-06-02 16:15:38,135.0,135 - MARCELO T. DE ALVEAR,7903,MEMBER,ICONIC,CODE
11204701,NORMAL,701,248,2021-06-02 15:52:32,346 - Plaza Zapiola,2021-06-02 16:04:13,278.0,233 - MONROE,192801,MEMBER,ICONIC,CODE
11204699,NORMAL,1476,322,2021-06-02 15:52:25,289 - MONTAÑESES,2021-06-02 16:17:01,239.0,391 - Plaza República de Ecuador,540406,MEMBER,ICONIC,CODE
11204696,NORMAL,961,163,2021-06-02 15:52:14,163 - ONCE II,2021-06-02 16:08:15,163.0,163 - ONCE II,660863,MEMBER,ICONIC,CODE
11204693,NORMAL,464,25,2021-06-02 15:51:58,025 - Plaza Guemes,2021-06-02 15:59:42,215.0,113 - Guatemala,59433,MEMBER,ICONIC,CODE
11204692,NORMAL,1046,179,2021-06-02 15:51:56,179 - CASA SAN,2021-06-02 16:09:22,179.0,179 - CASA SAN,106709,MEMBER,ICONIC,CODE
11204690,NORMAL,531,54,2021-06-02 15:51:50,054 - Acuña de Figueroa,2021-06-02 16:00:41,212.0,129 - Velasco,368026,MEMBER,ICONIC,CODE
11204689,NORMAL,1587,9,2021-06-02 15:51:43,009 - Parque Las Heras,2021-06-02 16:18:10,51.0,051 - TUCUMAN,78183,MEMBER,ICONIC,CODE
11204688,NORMAL,640,150,2021-06-02 15:51:43,150 - RODRIGO BUENO,2021-06-02 16:02:23,128.0,128 - PARQUE DEL BAJO,765998,MEMBER,ICONIC,CODE
11204685,NORMAL,580,329,2021-06-02 15:51:35,100 - Plaza Gurruchaga,2021-06-02 16:01:15,74.0,074 - INSTITUTO  LELOIR,552495,MEMBER,ICONIC,CODE
11204684,NORMAL,505,441,2021-06-02 15:51:32,016 - Legislatura,2021-06-02 15:59:57,26.0,026 - JUANA MANSO I,29592,MEMBER,ICONIC,CODE
11204682,NORMAL,710,17,2021-06-02 15:51:27,017 - Plaza Almagro,2021-06-02 16:03:17,25.0,025 - Plaza Guemes,51398,MEMBER,ICONIC,CODE
11204681,NORMAL,616,223,2021-06-02 15:51:12,178 - José Marmol,2021-06-02 16:01:28,220.0,097 - Avelino Diaz,5309,MEMBER,ICONIC,CODE
11204679,NORMAL,429,65,2021-06-02 15:50:59,065 - Julián Álvarez,2021-06-02 15:58:08,66.0,066 - Billinghurst,374518,MEMBER,ICONIC,CODE
11204678,NORMAL,364,64,2021-06-02 15:50:53,064 - RIOBAMBA,2021-06-02 15:56:57,174.0,174 - MINISTERIO DE EDUCACION,27965,MEMBER,ICONIC,CODE
11204677,NORMAL,581,162,2021-06-02 15:50:51,162 - LARREA Y BARTOLOMÉ MITRE,2021-06-02 16:00:32,8.0,008 - Congreso,68098,MEMBER,ICONIC,CODE
11204676,NORMAL,1629,223,2021-06-02 15:50:40,178 - José Marmol,2021-06-02 16:17:49,80.0,080 - DOBLAS,732822,MEMBER,ICONIC,CODE
11204675,NORMAL,462,158,2021-06-02 15:50:27,158 - VILLARROEL,2021-06-02 15:58:09,229.0,243 - PLAZOLETA CELEDONIO FLORES,65495,MEMBER,ICONIC,CODE
11204674,NORMAL,1048,355,2021-06-02 15:50:17,242 - Plazoleta Rafael del Riego,2021-06-02 16:07:45,257.0,264 - Plaza Marcos Sastre,105172,MEMBER,ICONIC,CODE
11204671,NORMAL,1749,76,2021-06-02 15:50:06,076 - Ayacucho,2021-06-02 16:19:15,254.0,276 - PRIMERA JUNTA,764659,MEMBER,ICONIC,CODE
11204670,NORMAL,700,89,2021-06-02 15:50:03,089 - Cabello,2021-06-02 16:01:43,181.0,181 - BILLINGHURST Y MANSILLA,149486,MEMBER,ICONIC,CODE
11204669,NORMAL,1471,194,2021-06-02 15:49:58,194 - PERÓN Y ACUÑA DE FIGUEROA,2021-06-02 16:14:29,9.0,009 - Parque Las Heras,703758,MEMBER,ICONIC,CODE
11204667,NORMAL,982,118,2021-06-02 15:49:55,118 - MEXICO,2021-06-02 16:06:17,161.0,161 - Humahuaca,113825,MEMBER,ICONIC,CODE
11204666,NORMAL,802,92,2021-06-02 15:49:49,092 - Salcedo,2021-06-02 16:03:11,49.0,049 - 33 Orientales,349225,MEMBER,ICONIC,CODE
11204665,NORMAL,1689,20,2021-06-02 15:49:49,020 - Distrito Audiovisual,2021-06-02 16:17:58,30.0,030 - Peña,124687,MEMBER,ICONIC,CODE
11204662,NORMAL,1644,355,2021-06-02 15:49:34,242 - Plazoleta Rafael del Riego,2021-06-02 16:16:58,156.0,156 - Plaza Alemania,756074,MEMBER,ICONIC,CODE
11204661,NORMAL,1242,202,2021-06-02 15:49:31,001 - FACULTAD DE DERECHO,2021-06-02 16:10:13,210.0,335 - General Urquiza,772253,MEMBER,ICONIC,CODE
11204660,NORMAL,1362,153,2021-06-02 15:49:10,153 - JUAN MANUEL DE BLANES,2021-06-02 16:11:52,179.0,179 - CASA SAN,687059,MEMBER,ICONIC,CODE
11204659,NORMAL,928,163,2021-06-02 15:49:06,163 - ONCE II,2021-06-02 16:04:34,200.0,200 - AUSTRIA Y FRENCH,560289,MEMBER,ICONIC,CODE
11204658,NORMAL,1260,433,2021-06-02 15:49:05,273 - Plazoleta Colombia,2021-06-02 16:10:05,3.0,003 - ADUANA,673328,MEMBER,ICONIC,CODE
11204657,NORMAL,757,29,2021-06-02 15:49:02,029 - Parque Centenario,2021-06-02 16:01:39,214.0,142 - Armenia y Gorriti,759628,MEMBER,ICONIC,CODE
11204656,NORMAL,1546,204,2021-06-02 15:49:01,167 - Hipólito Yrigoyen,2021-06-02 16:14:47,131.0,131- HOSPITAL DE CLÍNICAS,753736,MEMBER,ICONIC,CODE
